shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10027,50.455094,-104.628289,330002,8.450
10027,50.455089,-104.629726,330003,8.552
10027,50.455091,-104.630140,330004,8.581
10027,50.455091,-104.630140,340001,8.581
10027,50.455094,-104.631163,340002,8.654
10027,50.455096,-104.631750,340003,8.695
10027,50.455096,-104.631750,350001,8.695
10027,50.455098,-104.632614,350002,8.757
10027,50.455094,-104.634050,350003,8.859
10027,50.455087,-104.634467,350004,8.888
10027,50.455087,-104.634467,360001,8.888
10027,50.455072,-104.635487,360002,8.961
10027,50.455076,-104.636938,360003,9.064
10027,50.455077,-104.637391,360004,9.096
10027,50.455077,-104.637391,370001,9.096
10027,50.455081,-104.638389,370002,9.167
10027,50.455085,-104.639812,370003,9.268
10027,50.455104,-104.640261,370004,9.300
10027,50.455104,-104.640261,380001,9.300
10027,50.455133,-104.640953,380002,9.349
10027,50.455165,-104.642375,380003,9.450
10027,50.455188,-104.643436,380004,9.525
10027,50.455201,-104.645291,380005,9.657
10027,50.455202,-104.645860,380006,9.697
10027,50.455202,-104.645860,390001,9.697
10027,50.455205,-104.646714,390002,9.758
10027,50.455207,-104.647280,390003,9.798
10027,50.455207,-104.647280,400001,9.798
10027,50.455207,-104.647286,400002,9.798
10027,50.455209,-104.648165,400003,9.861
10027,50.455209,-104.648321,400004,9.872
10027,50.455205,-104.649602,400005,9.963
10027,50.455207,-104.650190,400006,10.005
10027,50.455207,-104.650190,410001,10.005
10027,50.455209,-104.651067,410002,10.067
10027,50.455213,-104.652461,410003,10.166
10027,50.455209,-104.652891,410004,10.196
10027,50.455209,-104.652891,420001,10.196
10027,50.455200,-104.653912,420002,10.269
10027,50.455204,-104.655335,420003,10.370
10027,50.455203,-104.655780,420004,10.401
10027,50.455203,-104.655780,430001,10.401
10027,50.455199,-104.656800,430002,10.474
10027,50.455194,-104.658223,430003,10.575
10027,50.455196,-104.658790,430004,10.615
10027,50.455196,-104.658790,440001,10.615
10027,50.455199,-104.659660,440002,10.677
10027,50.455189,-104.661125,440003,10.781
10027,50.455188,-104.661670,440004,10.819
10027,50.455188,-104.661670,450001,10.819
10027,50.455186,-104.666041,450002,11.130
10027,50.455186,-104.666099,450003,11.134
10027,50.455186,-104.666099,460001,11.134
10027,50.455183,-104.666813,460002,11.185
10027,50.455184,-104.668253,460003,11.287
10027,50.455180,-104.668808,460004,11.326
10027,50.455180,-104.668808,470001,11.326
10027,50.455175,-104.669711,470002,11.390
10027,50.455180,-104.671126,470003,11.491
10027,50.455183,-104.672021,470004,11.554
10027,50.455183,-104.672021,480001,11.554
10027,50.455185,-104.672683,480002,11.601
10027,50.455183,-104.674026,480003,11.697
10027,50.455183,-104.674479,480004,11.729
10027,50.455183,-104.674479,490001,11.729
10027,50.455183,-104.675465,490002,11.799
10027,50.455184,-104.676902,490003,11.901
10027,50.455185,-104.677301,490004,11.929
10027,50.455185,-104.677301,500001,11.929
10027,50.455187,-104.678339,500002,12.003
10027,50.455187,-104.679652,500003,12.096
10027,50.455187,-104.680080,500004,12.126
10027,50.455187,-104.680080,510001,12.126
10027,50.455186,-104.684710,510002,12.455
10027,50.455186,-104.684710,520001,12.455
10027,50.455185,-104.686847,520002,12.607
10027,50.455930,-104.686854,520003,12.690
10028,50.450378,-104.613470,10001,0.000
10028,50.450379,-104.613691,10002,0.016
10028,50.450383,-104.615142,10003,0.119
10028,50.448801,-104.615141,10004,0.295
10028,50.448797,-104.616380,10005,0.383
10028,50.448797,-104.616380,20001,0.383
10028,50.448796,-104.616577,20002,0.397
10028,50.448810,-104.618098,20003,0.505
10028,50.449510,-104.618093,20004,0.583
10028,50.449510,-104.618093,30001,0.583
10028,50.450326,-104.618086,30002,0.673
10028,50.450996,-104.618095,30003,0.748
10028,50.452039,-104.618096,30004,0.864
10028,50.453433,-104.618098,30005,1.019
10028,50.453759,-104.618099,30006,1.055
10028,50.453759,-104.618099,40001,1.055
10028,50.455096,-104.618104,40002,1.204
10028,50.455093,-104.619420,40003,1.297
10028,50.455093,-104.619420,50001,1.297
10028,50.455093,-104.619597,50002,1.310
10028,50.455088,-104.621062,50003,1.414
10028,50.455090,-104.621500,50004,1.445
10028,50.455090,-104.621500,60001,1.445
10028,50.455093,-104.622499,60002,1.516
10028,50.455089,-104.623936,60003,1.618
10028,50.455091,-104.624531,60004,1.660
10028,50.455091,-104.624531,70001,1.660
10028,50.455093,-104.625387,70002,1.721
10028,50.455089,-104.626838,70003,1.824
10028,50.455090,-104.627261,70004,1.854
10028,50.455090,-104.627261,80001,1.854
10028,50.455094,-104.628289,80002,1.927
10028,50.455089,-104.629726,80003,2.029
